Wallet,UMAP_X,UMAP_Y,UMAP_Z
3ucNos4NbumPLZNWztqGHNFFgkHeRMBQAVemeeomsUxv,-4.164142,0.84839535,7.2740026
GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,-4.230695,0.6937522,7.2194386
8ekCy2jHHUbW2yeNGFWYJT9Hm9FW7SvZcZK66dSZCDiF,-4.0044317,1.5738645,7.1066837
55BrDTCLWayM16GwrMEQU57o4PTm6ceF9wavSdNZcEiy,-3.8080091,1.6655635,7.763638
HTvjzsfX3yU6BUodCjZ5vZkUrAxMDTrBs3CJaq43ashR,-3.789076,1.6454147,7.871481
Eb1DdWzQqXbdSY4ay8ms9u6cRYoDNhFtqm4K2QTCkms3,-4.1761284,1.180068,6.9541025
9yj3zvLS3fDMqi1F8zhkaWfq8TZpZWHe6cz1Sgt7djXf,-4.1147876,1.3439059,7.03558
FGQoLafigpyVb7mLa6pvsDDpDaEE3JetrzQoAggTo3n7,-4.178901,1.1393747,6.9784245
5yzC7zTpV6CCp2ZhR3SNdonCnGyY37h53KeN5wrwBWv5,-4.120896,1.3446349,7.0485253
EEUNhHsRoUVgJUFpkupmdF4v7uLUw1zhYLp7u9s8zFqG,-4.2785497,0.67138195,7.091892
8TxrtAxqA5PA2Y1d2pxzCz9SoDhjrBcYqNAQKVv6p443,-3.7981777,1.6626284,7.806361
8FnX3xo2yYw3EUE6w3nQA4GfXGS9wpK6oj3veJpbFzLo,-4.064534,1.3480505,7.0927444
7wozcsqbiUBgwD1TE8yRbCRZBMzZ4YAYJxgLksWNJjxZ,-4.019558,1.5026258,7.149859
GHigB15jr7wZ8GitjD4Hf5naqyUJfMbKa1n1PmSiBhUc,-3.9851549,1.3599426,7.032803
9p7abUFv31ycgu9kckvnoqMMvBy67dqTDM2m6HP9xokN,-4.022195,1.4970859,7.1619444
FksffEqnBRixYGR791Qw2MgdU7zNCpHVFYBL4Fa4qVuH,-3.3780816,-0.3784933,9.417349
avg1twbiWyaGiaw8o7gF9uYho5CvBRSwt6xJZuEZuME,-3.378525,-0.37236053,9.411683
HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,-3.3058293,-0.5408591,9.638239
MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa,-4.1250577,0.9492345,7.292708
7P2rDSD8c6sVHJfFaETKkCMtugnUYsNCr4TFugRSE9m7,-4.016265,1.5138403,7.1483274
GJvewfRjqTUPtx6WsBSUnaFbdgXwgXnWfpDyLm65T4YA,-3.3807921,-0.36759502,9.4045
2nyC6jF1Hmjmth9AD2HbxiDhPm8x4FXWLq6FtRbVBUus,-3.420815,-0.27626157,9.276105
H3TyE2Q3rDrvRXD8PzHYE7BS2hafGuybje4qXCtyWqMH,-3.3918543,-0.34482387,9.376218
21DKc1iFV7athBMkHCvHhai77CA7qSkCW2qMphgXyihV,-4.2764854,0.77163494,7.0411277
7wYJVD8iXmMQjND1fwi1hPr68QwruVVtirbotyJZXaVH,-3.4260378,-0.25686383,9.246469
5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,-4.173411,1.15296,6.9120646
J4wh65bBFBZBiZ56ijRmo5py7ctQaUDWZJvchuUfFqgs,-3.7980611,1.6732829,7.78865
FATMdy6ubDpmSg8dwBmC5brUmomr9VZ9MfFny1oD1dGW,-3.792689,1.6492934,7.8496776
JAVj73fdncxHNkJpH5KZ5fdU5cCNnMwxtEEvjCwt3BEn,-3.7920153,1.6476749,7.854189
