Token,Signature,Sender,Receiver,Amount
9NWaxvJMV1z2U7d2B3nrC9pejhbSdfVfiTowEChSpump,5kufsc6NQ67LBpbTbvdecAMB5uMz6Mmb8vxtiRTpW8isUYcTVUzBQqf65uQ3TWh87QhmpXkPztJTpH5t9UYYRHEA,C6RTwZMZ9tNYk69chMtUTSBvofWQAZD6AseZ92eg3oPY,8v2y9MRQyvVH6kQRAMyjiiKVyWbcAjpjTDATW2Y3yXFd,1912.0
9NWaxvJMV1z2U7d2B3nrC9pejhbSdfVfiTowEChSpump,4nqN8UMnmJkvFqDLvt8STTp7Za8qMcSLQ8Vis2EAHfJ2fuwyJXnFt3eEZpZATnoUk77SDicVxppRzPQaJoHRGZfL,8v2y9MRQyvVH6kQRAMyjiiKVyWbcAjpjTDATW2Y3yXFd,C6RTwZMZ9tNYk69chMtUTSBvofWQAZD6AseZ92eg3oPY,1812.0
9NWaxvJMV1z2U7d2B3nrC9pejhbSdfVfiTowEChSpump,5udYmduByyPSPMUJdjEs5qRGY7UDh2rXb8sQbhxYgTBXpxBPV15b6FnyU7MMkZVNfDMxk7VEkQs3DEsKL6oiJaxp,C6RTwZMZ9tNYk69chMtUTSBvofWQAZD6AseZ92eg3oPY,Hb5ZzGnB7GtwEhGCV5vRwJ7YSzmPGGf68WMDxQ3QU3Sm,1590.0
9NWaxvJMV1z2U7d2B3nrC9pejhbSdfVfiTowEChSpump,3kiwkJLMVCwD2bmCx2RFf7BGkhY3a5mEF68CnvKjQpG81rbGhwQtctfLY94gkaHzuJMhM349k6xNBptt715mFjS4,Hb5ZzGnB7GtwEhGCV5vRwJ7YSzmPGGf68WMDxQ3QU3Sm,C6RTwZMZ9tNYk69chMtUTSBvofWQAZD6AseZ92eg3oPY,1490.0
9NWaxvJMV1z2U7d2B3nrC9pejhbSdfVfiTowEChSpump,qzg2jj1KPeT4BNbY3ARSNsQjwDGBub2EXtZZMDu4jhWEpmGLDwzy3yHceKizEc8SFSxfqFtp3Fh1AykT1j87T8p,FT5rhdp9Uze9eeoamjvFiBnK3Fih8Dc1827K2ht5Hqqm,4Jao4LimfYHjDPauXgjrngYxoHWxhVVUMk2CqTZzvMA9,6117172.722261
9NWaxvJMV1z2U7d2B3nrC9pejhbSdfVfiTowEChSpump,4LegHY6nuP8jMRhcSzpVU624BG8SULWnA955TSoju1kigVJpf89azyhBHBDj5deNZzveqR2mTKM3yLfMhZYim8w7,C6RTwZMZ9tNYk69chMtUTSBvofWQAZD6AseZ92eg3oPY,4PWU3rXwNRkkDX3ytnEitgQv1t47UvaBxFuFSXTB45Bt,1635.0
9NWaxvJMV1z2U7d2B3nrC9pejhbSdfVfiTowEChSpump,2KVsi2Ar4fKJdfka7WThJu6VoDr9s1hh6NcMJ6ff8KPNACEBf4Q79fcef87R6vkdTwVtoHmhfG1byohTWQyB5LgD,4PWU3rXwNRkkDX3ytnEitgQv1t47UvaBxFuFSXTB45Bt,C6RTwZMZ9tNYk69chMtUTSBvofWQAZD6AseZ92eg3oPY,1535.0
9NWaxvJMV1z2U7d2B3nrC9pejhbSdfVfiTowEChSpump,5wUhog4HZ3xTzeexiZCmsdtYHxTn8PoZWyvDPf89DvVGPfjksYBUhMix7PwVNon4MUiL5mvzDQ7C1fQdNWnNZR7Q,C6RTwZMZ9tNYk69chMtUTSBvofWQAZD6AseZ92eg3oPY,7y5LfFiWRgPNpoZ5BsbpbkGXJ2BaGuH8iG3mqQuEBk6t,1126.0
9NWaxvJMV1z2U7d2B3nrC9pejhbSdfVfiTowEChSpump,4Mx9pEUhSXcnnFRaEvzCF3CQYZ7CrtHJncfrotLJLXELqGZboXZJ4m4Qp5hNQ4hzgaSgcYpp6MdJAcahjvmbGN4r,7y5LfFiWRgPNpoZ5BsbpbkGXJ2BaGuH8iG3mqQuEBk6t,C6RTwZMZ9tNYk69chMtUTSBvofWQAZD6AseZ92eg3oPY,1026.0
9NWaxvJMV1z2U7d2B3nrC9pejhbSdfVfiTowEChSpump,3T9jS8EnkpqLBLpYV1aLfycXGsTC2ywVwxCjoiAPToSAy7WQQfHK3xhpNWvLbs63HkEMGsfrgZdM5XcRMEk4CU1p,C6RTwZMZ9tNYk69chMtUTSBvofWQAZD6AseZ92eg3oPY,8ZmXENAyJNLHFxryh7KqVzs7VseSaTA3AfwvL4M6tc5M,1233.0
