tweet_id,source,text,created_at,entities,keywords,inserted_at,slogan
2013601223354483065,Reuters,Golfing-Statue honouring Ballesteros vanishes in Spain https://t.co/eR7Cb4nKTG https://t.co/eR7Cb4nKTG,,"{'People': ['Ballesteros'], 'Countries': ['Spain'], 'Orgs': [], 'Slogan': []}","{'Topics': ['Sports', 'Golf']}",2026-01-20 13:21:32.593954,
2013601152269721961,Reuters,"Britain's jobs market weakened in the run-up to November's budget announcement, data showed. Hetal Mehta of St James's Place told Reuters this will likely worry the more dovish members of the Bank of England, and could encourage further rate cuts https://t.co/mxqkHXe2ks https://t.co/CtkEI9syaJ",,"{'People': ['Hetal Mehta'], 'Countries': ['Britain'], 'Orgs': [""St James's Place"", 'Reuters', 'Bank of England']}","{'topics': ['Economy', 'Finance'], 'slogan': 'WEAKENED JOBS'}",2026-01-20 13:21:35.499774,
2013600548973617268,Reuters,French President Emmanuel Macron’s special address at Davos https://t.co/bCrMcAj2eh,,"{'people': ['Emmanuel Macron'], 'countries': ['France'], 'orgs': ['Davos'], 'slogan': None}",{'topics': ['Politics']},2026-01-20 13:21:37.202145,
2013576482795254119,cnnbrk,"Britain approves ""mega"" Chinese embassy in London despite warnings that sprawling complex could pose security risks https://t.co/zDijNfseNs",,"{'People': [], 'Countries': ['Britain', 'China'], 'Orgs': ['embassy'], 'Slogan': None}","['Politics', 'Security']",2026-01-20 13:21:40.379743,
2013521015838568623,cnnbrk,"Trump criticizes ""great stupidity"" of UK and shares text from Macron, taking aim at leaders challenging him on Greenland ahead of Davos meetings. Follow live updates. https://t.co/KCmliOudWl https://t.co/DR0oVpLWYp",,"{'People': ['Trump', 'Macron'], 'Countries': ['UK', 'Greenland'], 'Orgs': ['Davos'], 'Slogan': None}","['Politics', 'International Relations', 'Global Leadership']",2026-01-20 13:21:42.399778,
2013492124046561660,cnnbrk,The Indiana Hoosiers – a longtime college football underdog – have won their first national title in school history https://t.co/2r49EdTvR4,,"{'People': [], 'Countries': [], 'Orgs': ['Indiana Hoosiers'], 'Slogan': []}","{'Key Topics': ['Sports', 'College Football', 'National Title']}",2026-01-20 13:21:44.185288,
2013570040101060793,BBCBreaking,Plans for huge Chinese embassy in London approved by UK government after years of debate over security risks https://t.co/aoynyqEIcS,,"{'People': [], 'Countries': ['China', 'UK'], 'Orgs': ['UK government'], 'Slogan': []}","['Diplomacy', 'Security']",2026-01-20 13:21:47.907996,
2013507725653664206,BBCBreaking,"US President Trump calls UK's Chagos Islands deal ""act of great stupidity"", months after endorsing move https://t.co/BHdS581DLZ",,"{'people': ['Trump'], 'countries': ['US', 'UK'], 'orgs': [], 'slogan': []}",['Politics'],2026-01-20 13:21:49.323608,
2013380441496080741,BBCBreaking,Government to consult on whether to ban social media for under-16s in the UK https://t.co/14RzjPxo1V,,"{'People': [], 'Countries': ['UK'], 'Orgs': [], 'Slogan': []}","{'Key Topics': ['Government', 'Social Media', 'Youth']}",2026-01-20 13:21:51.024930,
2013593940935557314,BBCWorld,Russian strikes again leave half of Kyiv with no heating in winter cold snap https://t.co/42bQpZEfx5,,"{'People': [], 'Countries': ['Russia', 'Ukraine'], 'Orgs': [], 'Slogan': []}","{'Key Topics': ['War', 'Winter', 'Energy Crisis']}",2026-01-20 13:21:54.469805,
