id,token_address,timestamp,moralis_score,top10_holders_percent,experienced_buyers,experienced_sellers,holders_by_swap,holders_by_transfer,total_holders,category
1,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:07:42.174765,23,99.65,,,,,,
2,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:08:43.780343,23,99.65,,,,,,
3,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:09:44.990072,23,99.65,,,,,,
4,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:10:41.191916,27,93.25,,,,,,
5,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:11:42.289318,29,93.25,,,,,,
6,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:12:41.368586,29,93.25,,,,,,
7,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:13:42.640529,29,93.25,,,,,,
8,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:14:41.699913,29,93.25,,,,,,
9,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:15:56.402887,29,93.25,,,,,,
10,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:16:56.496586,32,85.87,,,,,,
11,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:16:57.461674,48,74.49,,,,,,
12,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:17:41.986266,32,85.87,,,,,,
13,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:17:42.607490,48,74.49,,,,,,
14,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:17:43.620604,42,79.5,,,,,,
15,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:18:51.578239,32,85.87,,,,,,
16,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:18:52.187173,48,74.49,,,,,,
17,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:18:53.421996,42,79.5,,,,,,
18,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:19:43.631197,32,85.87,,,,,,
19,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:19:45.345853,51,73.76,,,,,,
20,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:19:46.245233,42,79.5,,,,,,
21,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:19:47.276759,26,100.0,,,,,,
22,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:20:44.603417,32,85.87,,,,,,
23,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:20:45.144080,51,73.76,,,,,,
24,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:20:45.773313,42,71.3,,,,,,
25,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:20:46.358820,26,100.0,,,,,,
26,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:21:43.873565,32,85.87,,,,,,
27,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:21:45.170813,51,73.76,,,,,,
28,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:21:46.038587,42,71.3,,,,,,
29,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:21:47.119227,26,100.0,,,,,,
30,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:22:43.673991,32,87.73,,,,,,
31,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:22:44.202221,51,73.76,,,,,,
32,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:22:45.113025,42,71.3,,,,,,
33,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:22:46.072213,26,100.0,,,,,,
34,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:23:44.802755,32,87.73,,,,,,
35,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:23:45.379147,51,73.76,,,,,,
36,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:23:46.374297,43,71.3,,,,,,
37,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:23:46.932458,27,100.0,,,,,,
38,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:24:43.415357,32,87.73,,,,,,
39,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:24:44.417285,50,73.76,,,,,,
40,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:24:45.286095,43,71.3,,,,,,
41,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:24:46.134051,29,100.0,,,,,,
42,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:25:54.229781,32,87.73,,,,,,
43,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:25:54.804405,52,66.15,,,,,,
44,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:25:55.381487,46,71.3,,,,,,
45,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:25:55.944394,30,100.0,,,,,,
46,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:26:45.320606,32,87.73,,,,,,
47,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:26:46.067924,53,66.15,,,,,,
48,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:26:46.688146,48,61.46,,,,,,
49,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:26:47.284874,31,100.0,,,,,,
50,v2zcycqJVc4uueBdEe8UKmH1uSMegyvojtu8toHBAGS,2026-01-23 18:26:48.248140,41,55.74,,,,,,
51,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:27:43.306977,32,87.73,,,,,,
52,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:27:44.818289,52,66.15,,,,,,
53,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:27:46.122154,46,61.46,,,,,,
54,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:27:46.701811,32,100.0,,,,,,
55,v2zcycqJVc4uueBdEe8UKmH1uSMegyvojtu8toHBAGS,2026-01-23 18:27:47.618901,41,55.74,,,,,,
56,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:28:53.959681,29,93.93,,,,,,
57,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:28:54.831441,52,66.15,,,,,,
58,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:28:55.710275,46,61.46,,,,,,
59,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:28:56.537437,32,100.0,,,,,,
60,v2zcycqJVc4uueBdEe8UKmH1uSMegyvojtu8toHBAGS,2026-01-23 18:28:57.743635,41,55.74,,,,,,
61,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:29:41.699040,29,93.93,,,,,,
62,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:29:42.267144,52,66.15,,,,,,
63,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:29:42.888958,46,61.46,,,,,,
64,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:29:43.513956,32,100.0,,,,,,
65,v2zcycqJVc4uueBdEe8UKmH1uSMegyvojtu8toHBAGS,2026-01-23 18:29:44.163409,41,55.74,,,,,,
66,yEBQ3hxPcxUPXsdad9UiPTsxEzJBu2C2egtboGUpump,2026-01-23 18:29:44.705724,42,62.13,,,,,,
67,BFbeAkLV5KggUKPCugquk9STyJVVNfTnBi9aZYeCpump,2026-01-23 18:30:42.297765,29,93.93,,,,,,
68,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:30:43.230106,52,66.15,,,,,,
69,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:30:44.185828,46,61.46,,,,,,
70,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:30:45.008149,32,100.0,,,,,,
71,v2zcycqJVc4uueBdEe8UKmH1uSMegyvojtu8toHBAGS,2026-01-23 18:30:45.845507,41,55.74,,,,,,
72,yEBQ3hxPcxUPXsdad9UiPTsxEzJBu2C2egtboGUpump,2026-01-23 18:30:46.851827,42,62.13,,,,,,
73,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:31:53.276987,52,68.67,,,,,,
74,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:31:53.896669,46,61.46,,,,,,
75,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:31:54.455599,32,100.0,,,,,,
